full_address,n,newest_created,oldest_created,newest_close,row_n,cum_houses,cumsum_wo,cumpct_wo
2125  RAMSAY ST,1,2017-01-19T14:46:00Z,2017-01-19T14:46:00Z,2017-01-30T00:00:00Z,9280,0.7184330726948982,25582,0.8755261987063212
2126  BOYD ST,1,2019-05-09T14:35:00Z,2019-05-09T14:35:00Z,2019-05-29T00:00:00Z,9281,0.7185104900518696,25583,0.8755604230124234
2126  MOUNT HOLLY ST,1,2016-04-28T10:32:00Z,2016-04-28T10:32:00Z,2016-05-03T00:00:00Z,9282,0.718587907408841,25584,0.8755946473185257
2126 W FAIRMOUNT AVE,1,2016-05-18T13:58:00Z,2016-05-18T13:58:00Z,2016-05-19T00:00:00Z,9283,0.7186653247658125,25585,0.8756288716246278
2127  VINE ST,1,2019-04-27T10:37:00Z,2019-04-27T10:37:00Z,2019-05-29T00:00:00Z,9284,0.7187427421227839,25586,0.87566309593073
2127 E CHASE ST,1,2018-02-14T14:57:00Z,2018-02-14T14:57:00Z,2018-02-15T00:00:00Z,9285,0.7188201594797554,25587,0.8756973202368322
2127 E FEDERAL ST,1,2019-04-25T22:00:00Z,2019-04-25T22:00:00Z,2019-04-29T00:00:00Z,9286,0.7188975768367268,25588,0.8757315445429343
2127 E NORTH AVE,1,2017-02-23T16:04:00Z,2017-02-23T16:04:00Z,2017-03-02T00:00:00Z,9287,0.7189749941936983,25589,0.8757657688490366
2127 E OLIVER ST,1,2016-07-19T22:00:00Z,2016-07-19T22:00:00Z,2016-07-22T00:00:00Z,9288,0.7190524115506697,25590,0.8757999931551388
2128  DIVISION ST,1,2018-01-08T22:00:00Z,2018-01-08T22:00:00Z,2018-01-22T00:00:00Z,9289,0.7191298289076411,25591,0.875834217461241
2128  VINE ST,1,2016-09-12T15:54:00Z,2016-09-12T15:54:00Z,2016-09-13T00:00:00Z,9290,0.7192072462646125,25592,0.8758684417673431
2128  WALBROOK AVE,1,2017-04-11T15:13:00Z,2017-04-11T15:13:00Z,2017-04-12T00:00:00Z,9291,0.7192846636215839,25593,0.8759026660734454
2129 N DUKELAND ST,1,2017-11-01T15:05:00Z,2017-11-01T15:05:00Z,2017-11-06T00:00:00Z,9292,0.7193620809785554,25594,0.8759368903795476
213 S CATHERINE ST,1,2019-07-03T22:00:00Z,2019-07-03T22:00:00Z,2019-07-08T00:00:00Z,9293,0.7194394983355268,25595,0.8759711146856497
213 S STRICKER ST,1,2019-03-28T11:03:00Z,2019-03-28T11:03:00Z,2019-04-05T00:00:00Z,9294,0.7195169156924982,25596,0.8760053389917519
2130  VINE ST,1,2016-08-26T16:03:00Z,2016-08-26T16:03:00Z,2016-08-29T00:00:00Z,9295,0.7195943330494697,25597,0.8760395632978542
2130 W BALTIMORE ST,1,2017-11-16T15:38:00Z,2017-11-16T15:38:00Z,2017-11-25T00:00:00Z,9296,0.7196717504064412,25598,0.8760737876039564
2130 W LEXINGTON ST,1,2016-09-01T14:35:00Z,2016-09-01T14:35:00Z,2016-09-02T00:00:00Z,9297,0.7197491677634126,25599,0.8761080119100585
2131  PENROSE AVE,1,2018-12-14T15:34:00Z,2018-12-14T15:34:00Z,2018-12-27T00:00:00Z,9298,0.719826585120384,25600,0.8761422362161607
2131 E OLIVER ST,1,2016-03-13T22:00:00Z,2016-03-13T22:00:00Z,2016-03-16T00:00:00Z,9299,0.7199040024773554,25601,0.876176460522263
2131 W FAIRMOUNT AVE,1,2018-07-30T16:20:00Z,2018-07-30T16:20:00Z,2018-07-31T00:00:00Z,9300,0.7199814198343268,25602,0.8762106848283651
2132  ORLEANS ST,1,2016-03-04T14:32:00Z,2016-03-04T14:32:00Z,2016-03-08T00:00:00Z,9301,0.7200588371912983,25603,0.8762449091344673
2132  WALBROOK AVE,1,2018-02-15T15:23:00Z,2018-02-15T15:23:00Z,2018-02-16T00:00:00Z,9302,0.7201362545482697,25604,0.8762791334405695
2132 W FAYETTE ST,1,2018-02-15T15:02:00Z,2018-02-15T15:02:00Z,2018-03-08T00:00:00Z,9303,0.7202136719052411,25605,0.8763133577466717
